household_id,kwh_usage_fridge,kwh_usage_heater,kwh_usage_AC,kwh_usage_washer,kwh_usage_dryer,kwh_usage_oven,kwh_usage_microwave,kwh_usage_TV,kwh_usage_computer,kwh_usage_lighting
H0001,223.18,57.9,48.81,244.22,289.45,139.37,258.7,268.0,200.71,155.61
H0002,109.74,148.74,277.8,55.95,160.74,187.44,149.94,293.54,247.18,50.46
H0003,112.39,123.07,111.39,131.44,147.5,274.4,288.01,248.54,249.06,149.42
H0004,73.69,248.79,154.68,295.7,11.59,93.5,79.27,27.07,167.29,196.45
H0005,13.52,294.67,190.25,191.53,46.62,35.59,240.57,70.06,140.1,223.32
H0006,21.1,71.86,261.09,15.28,233.99,38.68,256.68,123.32,70.17,94.78
H0007,247.89,195.23,81.1,107.03,128.63,159.01,54.6,235.82,204.23,61.43
H0008,51.67,96.74,176.12,255.44,104.69,118.98,186.36,178.3,51.94,257.16
H0009,137.29,33.02,244.27,40.22,244.77,278.52,147.58,132.66,240.57,47.94
H0010,110.65,91.24,267.94,217.96,31.87,67.09,50.72,187.24,87.44,61.89
H0011,252.48,239.26,94.1,43.6,13.53,238.15,148.37,272.43,66.71,116.05
H0012,230.27,31.23,61.84,286.9,159.15,172.09,19.11,151.51,149.81,214.53
H0013,11.26,230.71,15.67,54.48,228.55,144.55,296.18,147.56,100.03,27.89
H0014,265.57,148.05,121.21,58.54,97.12,115.24,173.58,251.23,255.48,54.64
H0015,126.03,86.65,34.63,274.5,192.97,10.94,16.91,115.93,214.01,115.16
H0016,268.77,17.82,270.2,203.02,171.69,99.75,99.26,167.46,266.51,59.32
H0017,11.24,28.99,30.96,117.57,56.13,68.73,296.41,259.57,47.76,123.21
H0018,204.46,149.78,135.44,24.71,40.29,220.13,251.02,164.27,214.74,85.13
H0019,271.54,255.09,223.13,167.36,264.14,84.79,86.53,92.7,115.24,66.73
H0020,216.86,226.15,38.77,274.63,138.24,298.74,234.83,269.8,204.68,178.24
