household_id,month,year,billing_cycle,payment_status,rate_per_kwh,cost_usd,total_kwh
H0001,Jan,2025,2025-01-01 to 2025-01-30,Unpaid,0.18,339.47,1885.9499999999998
H0002,Feb,2025,2025-02-01 to 2025-02-30,Paid,0.18,302.68,1681.5300000000002
H0003,Mar,2025,2025-03-01 to 2025-03-30,Unpaid,0.18,330.34,1835.2199999999998
H0004,Apr,2025,2025-04-01 to 2025-04-30,Unpaid,0.18,242.65,1348.0300000000002
H0005,May,2025,2025-05-01 to 2025-05-30,Unpaid,0.18,260.32,1446.2299999999998
H0006,Jun,2025,2025-06-01 to 2025-06-30,Pending,0.18,213.65,1186.9499999999998
H0007,Jul,2025,2025-07-01 to 2025-07-30,Unpaid,0.18,265.49,1474.97
H0008,Aug,2025,2025-08-01 to 2025-08-30,Unpaid,0.18,265.93,1477.4000000000003
H0009,Sep,2025,2025-09-01 to 2025-09-30,Paid,0.18,278.43,1546.8400000000001
H0010,Oct,2025,2025-10-01 to 2025-10-30,Paid,0.18,211.33,1174.0400000000002
H0011,Nov,2025,2025-11-01 to 2025-11-30,Pending,0.18,267.24,1484.68
H0012,Dec,2025,2025-12-01 to 2025-12-30,Pending,0.18,265.76,1476.4399999999998
H0013,Jan,2025,2025-13-01 to 2025-13-30,Unpaid,0.18,226.24,1256.88
H0014,Feb,2025,2025-14-01 to 2025-14-30,Paid,0.18,277.32,1540.66
H0015,Mar,2025,2025-15-01 to 2025-15-30,Unpaid,0.18,213.79,1187.73
H0016,Apr,2025,2025-16-01 to 2025-16-30,Pending,0.18,292.28,1623.8
H0017,May,2025,2025-17-01 to 2025-17-30,Unpaid,0.18,187.3,1040.57
H0018,Jun,2025,2025-18-01 to 2025-18-30,Unpaid,0.18,268.19,1489.9699999999998
H0019,Jul,2025,2025-19-01 to 2025-19-30,Pending,0.18,292.9,1627.25
H0020,Aug,2025,2025-20-01 to 2025-20-30,Paid,0.18,374.57,2080.9399999999996
H0021,Sep,2025,2025-21-01 to 2025-21-30,Pending,0.18,471.03,2616.85
H0022,Oct,2025,2025-22-01 to 2025-22-30,Paid,0.18,348.61,1936.7000000000003
H0023,Nov,2025,2025-23-01 to 2025-23-30,Paid,0.18,319.5,1775.0199999999998
H0024,Dec,2025,2025-24-01 to 2025-24-30,Paid,0.18,350.98,1949.87
H0025,Jan,2025,2025-25-01 to 2025-25-30,Unpaid,0.18,240.33,1335.17
H0026,Feb,2025,2025-26-01 to 2025-26-30,Pending,0.18,343.24,1906.8899999999999
H0027,Mar,2025,2025-27-01 to 2025-27-30,Pending,0.18,352.25,1956.9700000000003
H0028,Apr,2025,2025-28-01 to 2025-28-30,Pending,0.18,274.11,1522.85
H0029,May,2025,2025-29-01 to 2025-29-30,Pending,0.18,315.97,1755.4
H0030,Jun,2025,2025-30-01 to 2025-30-30,Unpaid,0.18,235.84,1310.21
H0031,Jul,2025,2025-31-01 to 2025-31-30,Pending,0.18,284.55,1580.8400000000001
H0032,Aug,2025,2025-32-01 to 2025-32-30,Unpaid,0.18,265.03,1472.4
H0033,Sep,2025,2025-33-01 to 2025-33-30,Pending,0.18,268.46,1491.44
H0034,Oct,2025,2025-34-01 to 2025-34-30,Unpaid,0.18,238.37,1324.2699999999998
H0035,Nov,2025,2025-35-01 to 2025-35-30,Unpaid,0.18,288.98,1605.47
H0036,Dec,2025,2025-36-01 to 2025-36-30,Unpaid,0.18,273.21,1517.8400000000001
H0037,Jan,2025,2025-37-01 to 2025-37-30,Paid,0.18,174.87,971.5
H0038,Feb,2025,2025-38-01 to 2025-38-30,Paid,0.18,359.16,1995.3399999999997
H0039,Mar,2025,2025-39-01 to 2025-39-30,Paid,0.18,352.82,1960.11
H0040,Apr,2025,2025-40-01 to 2025-40-30,Pending,0.18,249.08,1383.8
H0041,May,2025,2025-41-01 to 2025-41-30,Pending,0.18,205.51,1141.73
H0042,Jun,2025,2025-42-01 to 2025-42-30,Pending,0.18,193.14,1073.0200000000002
H0043,Jul,2025,2025-43-01 to 2025-43-30,Pending,0.18,349.41,1941.1499999999999
H0044,Aug,2025,2025-44-01 to 2025-44-30,Pending,0.18,189.55,1053.06
H0045,Sep,2025,2025-45-01 to 2025-45-30,Pending,0.18,257.66,1431.42
H0046,Oct,2025,2025-46-01 to 2025-46-30,Unpaid,0.18,317.39,1763.3
H0047,Nov,2025,2025-47-01 to 2025-47-30,Pending,0.18,253.07,1405.97
H0048,Dec,2025,2025-48-01 to 2025-48-30,Paid,0.18,316.97,1760.9300000000003
H0049,Jan,2025,2025-49-01 to 2025-49-30,Pending,0.18,222.11,1233.95
H0050,Feb,2025,2025-50-01 to 2025-50-30,Paid,0.18,221.47,1230.41
H0051,Mar,2025,2025-51-01 to 2025-51-30,Unpaid,0.18,232.48,1291.56
H0052,Apr,2025,2025-52-01 to 2025-52-30,Pending,0.18,368.26,2045.8899999999999
H0053,May,2025,2025-53-01 to 2025-53-30,Paid,0.18,233.81,1298.9700000000003
H0054,Jun,2025,2025-54-01 to 2025-54-30,Pending,0.18,307.62,1709.02
H0055,Jul,2025,2025-55-01 to 2025-55-30,Pending,0.18,292.44,1624.6799999999998
H0056,Aug,2025,2025-56-01 to 2025-56-30,Paid,0.18,242.23,1345.7
H0057,Sep,2025,2025-57-01 to 2025-57-30,Unpaid,0.18,341.64,1897.9799999999998
H0058,Oct,2025,2025-58-01 to 2025-58-30,Unpaid,0.18,327.64,1820.2399999999998
H0059,Nov,2025,2025-59-01 to 2025-59-30,Paid,0.18,252.42,1402.3399999999997
H0060,Dec,2025,2025-60-01 to 2025-60-30,Pending,0.18,315.53,1752.9700000000003
H0061,Jan,2025,2025-61-01 to 2025-61-30,Unpaid,0.18,329.44,1830.24
H0062,Feb,2025,2025-62-01 to 2025-62-30,Pending,0.18,315.69,1753.8600000000004
H0063,Mar,2025,2025-63-01 to 2025-63-30,Pending,0.18,257.29,1429.3899999999999
H0064,Apr,2025,2025-64-01 to 2025-64-30,Pending,0.18,227.85,1265.8400000000001
H0065,May,2025,2025-65-01 to 2025-65-30,Pending,0.18,248.19,1378.8200000000002
H0066,Jun,2025,2025-66-01 to 2025-66-30,Unpaid,0.18,288.65,1603.61
H0067,Jul,2025,2025-67-01 to 2025-67-30,Pending,0.18,192.0,1066.69
H0068,Aug,2025,2025-68-01 to 2025-68-30,Pending,0.18,287.65,1598.0599999999997
H0069,Sep,2025,2025-69-01 to 2025-69-30,Pending,0.18,298.89,1660.5000000000002
H0070,Oct,2025,2025-70-01 to 2025-70-30,Pending,0.18,277.68,1542.6499999999999
H0071,Nov,2025,2025-71-01 to 2025-71-30,Unpaid,0.18,315.14,1750.7699999999998
H0072,Dec,2025,2025-72-01 to 2025-72-30,Pending,0.18,305.77,1698.73
H0073,Jan,2025,2025-73-01 to 2025-73-30,Pending,0.18,300.57,1669.82
H0074,Feb,2025,2025-74-01 to 2025-74-30,Unpaid,0.18,280.33,1557.3999999999996
H0075,Mar,2025,2025-75-01 to 2025-75-30,Unpaid,0.18,276.23,1534.63
H0076,Apr,2025,2025-76-01 to 2025-76-30,Unpaid,0.18,345.93,1921.8400000000001
H0077,May,2025,2025-77-01 to 2025-77-30,Paid,0.18,270.24,1501.3100000000002
H0078,Jun,2025,2025-78-01 to 2025-78-30,Unpaid,0.18,299.14,1661.8700000000001
H0079,Jul,2025,2025-79-01 to 2025-79-30,Paid,0.18,284.89,1582.71
H0080,Aug,2025,2025-80-01 to 2025-80-30,Pending,0.18,262.69,1459.4
H0081,Sep,2025,2025-81-01 to 2025-81-30,Unpaid,0.18,206.0,1144.4399999999998
H0082,Oct,2025,2025-82-01 to 2025-82-30,Unpaid,0.18,293.78,1632.12
H0083,Nov,2025,2025-83-01 to 2025-83-30,Unpaid,0.18,270.51,1502.81
H0084,Dec,2025,2025-84-01 to 2025-84-30,Pending,0.18,304.38,1690.99
H0085,Jan,2025,2025-85-01 to 2025-85-30,Unpaid,0.18,376.49,2091.59
H0086,Feb,2025,2025-86-01 to 2025-86-30,Pending,0.18,226.18,1256.5400000000002
H0087,Mar,2025,2025-87-01 to 2025-87-30,Paid,0.18,271.14,1506.33
H0088,Apr,2025,2025-88-01 to 2025-88-30,Unpaid,0.18,304.24,1690.2
H0089,May,2025,2025-89-01 to 2025-89-30,Pending,0.18,319.79,1776.6000000000001
H0090,Jun,2025,2025-90-01 to 2025-90-30,Paid,0.18,325.48,1808.24
H0091,Jul,2025,2025-91-01 to 2025-91-30,Unpaid,0.18,250.52,1391.76
H0092,Aug,2025,2025-92-01 to 2025-92-30,Unpaid,0.18,255.99,1422.1799999999998
H0093,Sep,2025,2025-93-01 to 2025-93-30,Unpaid,0.18,259.88,1443.77
H0094,Oct,2025,2025-94-01 to 2025-94-30,Pending,0.18,310.49,1724.9199999999998
H0095,Nov,2025,2025-95-01 to 2025-95-30,Unpaid,0.18,228.67,1270.3999999999999
H0096,Dec,2025,2025-96-01 to 2025-96-30,Unpaid,0.18,352.78,1959.8800000000003
H0097,Jan,2025,2025-97-01 to 2025-97-30,Pending,0.18,235.54,1308.5500000000002
H0098,Feb,2025,2025-98-01 to 2025-98-30,Pending,0.18,194.36,1079.7700000000002
H0099,Mar,2025,2025-99-01 to 2025-99-30,Paid,0.18,269.17,1495.3799999999999
H0100,Apr,2025,2025-100-01 to 2025-100-30,Paid,0.18,274.02,1522.3500000000001
H0101,May,2025,2025-101-01 to 2025-101-30,Pending,0.18,188.81,1048.92
H0102,Jun,2025,2025-102-01 to 2025-102-30,Pending,0.18,253.88,1410.42
H0103,Jul,2025,2025-103-01 to 2025-103-30,Unpaid,0.18,304.04,1689.0999999999997
H0104,Aug,2025,2025-104-01 to 2025-104-30,Paid,0.18,244.52,1358.47
H0105,Sep,2025,2025-105-01 to 2025-105-30,Paid,0.18,312.89,1738.2900000000002
H0106,Oct,2025,2025-106-01 to 2025-106-30,Paid,0.18,319.56,1775.33
H0107,Nov,2025,2025-107-01 to 2025-107-30,Paid,0.18,241.95,1344.15
H0108,Dec,2025,2025-108-01 to 2025-108-30,Pending,0.18,259.56,1442.0100000000002
H0109,Jan,2025,2025-109-01 to 2025-109-30,Pending,0.18,294.15,1634.1399999999996
H0110,Feb,2025,2025-110-01 to 2025-110-30,Paid,0.18,256.64,1425.75
H0111,Mar,2025,2025-111-01 to 2025-111-30,Unpaid,0.18,370.88,2060.42
H0112,Apr,2025,2025-112-01 to 2025-112-30,Pending,0.18,197.12,1095.09
H0113,May,2025,2025-113-01 to 2025-113-30,Paid,0.18,252.89,1404.96
H0114,Jun,2025,2025-114-01 to 2025-114-30,Paid,0.18,248.77,1382.03
H0115,Jul,2025,2025-115-01 to 2025-115-30,Pending,0.18,273.09,1517.15
H0116,Aug,2025,2025-116-01 to 2025-116-30,Paid,0.18,326.44,1813.5500000000002
H0117,Sep,2025,2025-117-01 to 2025-117-30,Pending,0.18,285.54,1586.3100000000002
H0118,Oct,2025,2025-118-01 to 2025-118-30,Pending,0.18,316.43,1757.9299999999996
H0119,Nov,2025,2025-119-01 to 2025-119-30,Paid,0.18,290.9,1616.13
H0120,Dec,2025,2025-120-01 to 2025-120-30,Pending,0.18,209.51,1163.9300000000003
H0121,Jan,2025,2025-121-01 to 2025-121-30,Pending,0.18,305.46,1696.9900000000002
H0122,Feb,2025,2025-122-01 to 2025-122-30,Pending,0.18,184.93,1027.38
H0123,Mar,2025,2025-123-01 to 2025-123-30,Paid,0.18,250.31,1390.59
H0124,Apr,2025,2025-124-01 to 2025-124-30,Unpaid,0.18,286.05,1589.1599999999999
H0125,May,2025,2025-125-01 to 2025-125-30,Unpaid,0.18,291.22,1617.91
H0126,Jun,2025,2025-126-01 to 2025-126-30,Pending,0.18,296.3,1646.1099999999997
H0127,Jul,2025,2025-127-01 to 2025-127-30,Paid,0.18,296.43,1646.86
H0128,Aug,2025,2025-128-01 to 2025-128-30,Pending,0.18,330.23,1834.62
H0129,Sep,2025,2025-129-01 to 2025-129-30,Unpaid,0.18,308.56,1714.23
H0130,Oct,2025,2025-130-01 to 2025-130-30,Pending,0.18,285.15,1584.1699999999998
H0131,Nov,2025,2025-131-01 to 2025-131-30,Pending,0.18,225.69,1253.8100000000002
H0132,Dec,2025,2025-132-01 to 2025-132-30,Paid,0.18,297.28,1651.58
H0133,Jan,2025,2025-133-01 to 2025-133-30,Unpaid,0.18,248.84,1382.4199999999998
H0134,Feb,2025,2025-134-01 to 2025-134-30,Unpaid,0.18,277.02,1538.9900000000002
H0135,Mar,2025,2025-135-01 to 2025-135-30,Pending,0.18,278.4,1546.66
H0136,Apr,2025,2025-136-01 to 2025-136-30,Unpaid,0.18,350.34,1946.3600000000001
H0137,May,2025,2025-137-01 to 2025-137-30,Paid,0.18,231.39,1285.52
H0138,Jun,2025,2025-138-01 to 2025-138-30,Paid,0.18,197.34,1096.3200000000002
H0139,Jul,2025,2025-139-01 to 2025-139-30,Unpaid,0.18,206.49,1147.19
H0140,Aug,2025,2025-140-01 to 2025-140-30,Paid,0.18,245.85,1365.8500000000001
H0141,Sep,2025,2025-141-01 to 2025-141-30,Unpaid,0.18,273.71,1520.6299999999999
H0142,Oct,2025,2025-142-01 to 2025-142-30,Unpaid,0.18,238.7,1326.11
H0143,Nov,2025,2025-143-01 to 2025-143-30,Paid,0.18,270.28,1501.5699999999997
H0144,Dec,2025,2025-144-01 to 2025-144-30,Pending,0.18,202.59,1125.49
H0145,Jan,2025,2025-145-01 to 2025-145-30,Unpaid,0.18,280.95,1560.82
H0146,Feb,2025,2025-146-01 to 2025-146-30,Unpaid,0.18,332.41,1846.71
H0147,Mar,2025,2025-147-01 to 2025-147-30,Pending,0.18,385.79,2143.3
H0148,Apr,2025,2025-148-01 to 2025-148-30,Unpaid,0.18,356.58,1981.02
H0149,May,2025,2025-149-01 to 2025-149-30,Paid,0.18,225.06,1250.3600000000001
H0150,Jun,2025,2025-150-01 to 2025-150-30,Pending,0.18,314.72,1748.42
H0151,Jul,2025,2025-151-01 to 2025-151-30,Unpaid,0.18,308.64,1714.65
H0152,Aug,2025,2025-152-01 to 2025-152-30,Paid,0.18,233.78,1298.76
H0153,Sep,2025,2025-153-01 to 2025-153-30,Paid,0.18,249.12,1384.0
H0154,Oct,2025,2025-154-01 to 2025-154-30,Paid,0.18,302.86,1682.56
H0155,Nov,2025,2025-155-01 to 2025-155-30,Paid,0.18,283.43,1574.6100000000001
H0156,Dec,2025,2025-156-01 to 2025-156-30,Unpaid,0.18,233.06,1294.79
H0157,Jan,2025,2025-157-01 to 2025-157-30,Paid,0.18,203.08,1128.21
H0158,Feb,2025,2025-158-01 to 2025-158-30,Unpaid,0.18,335.49,1863.8100000000002
H0159,Mar,2025,2025-159-01 to 2025-159-30,Paid,0.18,294.54,1636.32
H0160,Apr,2025,2025-160-01 to 2025-160-30,Unpaid,0.18,222.19,1234.4099999999999
H0161,May,2025,2025-161-01 to 2025-161-30,Unpaid,0.18,259.84,1443.58
H0162,Jun,2025,2025-162-01 to 2025-162-30,Unpaid,0.18,244.23,1356.83
H0163,Jul,2025,2025-163-01 to 2025-163-30,Pending,0.18,199.98,1111.0
H0164,Aug,2025,2025-164-01 to 2025-164-30,Paid,0.18,223.85,1243.6200000000001
H0165,Sep,2025,2025-165-01 to 2025-165-30,Pending,0.18,271.3,1507.23
H0166,Oct,2025,2025-166-01 to 2025-166-30,Pending,0.18,365.88,2032.6599999999999
H0167,Nov,2025,2025-167-01 to 2025-167-30,Unpaid,0.18,241.43,1341.2800000000002
H0168,Dec,2025,2025-168-01 to 2025-168-30,Paid,0.18,279.11,1550.6000000000001
H0169,Jan,2025,2025-169-01 to 2025-169-30,Pending,0.18,258.97,1438.74
H0170,Feb,2025,2025-170-01 to 2025-170-30,Unpaid,0.18,404.85,2249.19
H0171,Mar,2025,2025-171-01 to 2025-171-30,Paid,0.18,251.4,1396.6699999999998
H0172,Apr,2025,2025-172-01 to 2025-172-30,Paid,0.18,269.36,1496.45
H0173,May,2025,2025-173-01 to 2025-173-30,Unpaid,0.18,295.67,1642.6299999999999
H0174,Jun,2025,2025-174-01 to 2025-174-30,Pending,0.18,359.85,1999.1499999999999
H0175,Jul,2025,2025-175-01 to 2025-175-30,Paid,0.18,321.44,1785.77
H0176,Aug,2025,2025-176-01 to 2025-176-30,Unpaid,0.18,258.34,1435.2399999999998
H0177,Sep,2025,2025-177-01 to 2025-177-30,Unpaid,0.18,277.36,1540.8799999999999
H0178,Oct,2025,2025-178-01 to 2025-178-30,Paid,0.18,241.95,1344.17
H0179,Nov,2025,2025-179-01 to 2025-179-30,Pending,0.18,327.21,1817.8200000000002
H0180,Dec,2025,2025-180-01 to 2025-180-30,Paid,0.18,186.22,1034.55
H0181,Jan,2025,2025-181-01 to 2025-181-30,Paid,0.18,311.0,1727.7699999999998
H0182,Feb,2025,2025-182-01 to 2025-182-30,Unpaid,0.18,267.38,1485.42
H0183,Mar,2025,2025-183-01 to 2025-183-30,Paid,0.18,278.3,1546.1
H0184,Apr,2025,2025-184-01 to 2025-184-30,Unpaid,0.18,196.16,1089.7600000000002
H0185,May,2025,2025-185-01 to 2025-185-30,Pending,0.18,212.29,1179.41
H0186,Jun,2025,2025-186-01 to 2025-186-30,Paid,0.18,257.47,1430.41
H0187,Jul,2025,2025-187-01 to 2025-187-30,Unpaid,0.18,187.23,1040.18
H0188,Aug,2025,2025-188-01 to 2025-188-30,Paid,0.18,323.86,1799.2
H0189,Sep,2025,2025-189-01 to 2025-189-30,Pending,0.18,302.03,1677.95
H0190,Oct,2025,2025-190-01 to 2025-190-30,Pending,0.18,315.99,1755.52
H0191,Nov,2025,2025-191-01 to 2025-191-30,Paid,0.18,301.12,1672.8800000000003
H0192,Dec,2025,2025-192-01 to 2025-192-30,Paid,0.18,246.04,1366.8999999999999
H0193,Jan,2025,2025-193-01 to 2025-193-30,Unpaid,0.18,332.72,1848.44
H0194,Feb,2025,2025-194-01 to 2025-194-30,Paid,0.18,237.79,1321.0700000000002
H0195,Mar,2025,2025-195-01 to 2025-195-30,Unpaid,0.18,190.63,1059.0600000000002
H0196,Apr,2025,2025-196-01 to 2025-196-30,Pending,0.18,228.46,1269.2
H0197,May,2025,2025-197-01 to 2025-197-30,Pending,0.18,296.88,1649.3100000000002
H0198,Jun,2025,2025-198-01 to 2025-198-30,Pending,0.18,271.46,1508.1100000000001
