household_id,kwh_per_occupant,kwh_per_sqft,usage_category
H0001,942.97,0.9245,High
H0002,336.31,1.0821,High
H0003,305.87,0.8508,High
H0004,269.61,0.8521,High
H0005,1446.23,0.6538,High
H0006,593.47,0.4677,High
H0007,737.48,0.8254,High
H0008,492.47,1.0419,High
H0009,257.81,0.6024,High
H0010,234.81,0.5281,High
H0011,371.17,1.0806,High
H0012,295.29,1.1168,High
H0013,1256.88,0.5467,High
H0014,1540.66,0.9343,High
H0015,1187.73,0.7428,High
H0016,541.27,1.2209,High
H0017,1040.57,0.3452,High
H0018,248.33,0.4627,High
H0019,813.62,0.7026,High
H0020,1040.47,0.696,
H0021,872.28,0.9942,
H0022,387.34,0.6067,High
H0023,295.84,1.0405,High
H0024,389.97,1.3809,High
H0025,667.58,0.4743,High
H0026,476.72,0.6889,High
H0027,489.24,1.3413,High
H0028,380.71,0.4998,High
H0029,1755.4,3.1572,High
H0030,218.37,1.2042,High
H0031,395.21,0.4683,High
H0032,490.8,1.0693,High
H0033,497.15,1.39,High
H0034,331.07,2.3947,High
H0035,535.16,1.0318,High
H0036,505.95,0.7014,High
H0037,971.5,0.8198,Medium
H0038,665.11,1.4758,High
H0039,490.03,1.2099,High
H0040,1383.8,0.8649,High
H0041,228.35,0.4819,High
H0042,178.84,1.8125,High
H0043,970.58,3.0189,High
H0044,210.61,0.6386,High
H0045,715.71,0.4661,High
H0046,1763.3,1.4371,High
H0047,702.98,0.7975,High
H0048,440.23,0.6355,High
H0049,1233.95,0.8948,High
H0050,205.07,0.4262,High
H0051,322.89,0.7875,High
H0052,681.96,0.7764,
H0053,649.49,0.3893,High
H0054,1709.02,1.0858,High
H0055,812.34,2.0207,High
H0056,1345.7,0.5976,High
H0057,316.33,0.5905,High
H0058,910.12,0.6526,High
H0059,233.72,1.099,High
H0060,876.49,1.4171,High
H0061,915.12,0.6648,High
H0062,350.77,1.5198,High
H0063,238.23,0.6859,High
H0064,253.17,0.4089,High
H0065,229.8,0.6455,High
H0066,801.8,0.5827,High
H0067,213.34,0.4992,High
H0068,532.69,1.956,High
H0069,276.75,0.4924,High
H0070,308.53,1.508,High
H0071,1750.77,0.9142,High
H0072,339.75,2.1585,High
H0073,834.91,0.4934,High
H0074,1557.4,1.146,High
H0075,255.77,0.5884,High
H0076,320.31,0.959,High
H0077,500.44,0.4697,High
H0078,830.94,0.7439,High
H0079,316.54,0.4725,High
H0080,486.47,0.6547,High
H0081,572.22,1.3432,High
H0082,408.03,1.1534,High
H0083,375.7,1.4791,High
H0084,338.2,1.1038,High
H0085,1045.8,0.635,
H0086,628.27,0.3654,High
H0087,301.27,0.5311,High
H0088,845.1,2.557,High
H0089,444.15,0.9248,High
H0090,361.65,2.7948,High
H0091,463.92,0.4034,High
H0092,237.03,0.7553,High
H0093,481.26,0.4487,High
H0094,862.46,1.3497,High
H0095,635.2,1.1951,High
H0096,326.65,0.5893,High
H0097,654.28,1.1539,High
H0098,1079.77,0.6732,High
H0099,299.08,0.9096,High
H0100,253.73,0.6391,High
H0101,349.64,0.5324,High
H0102,470.14,0.5259,High
H0103,422.27,0.5008,High
H0104,679.24,0.9229,High
H0105,579.43,0.5857,High
H0106,591.78,0.8622,High
H0107,268.83,0.4156,High
H0108,240.34,0.6805,High
H0109,544.71,2.1389,High
H0110,475.25,0.441,High
H0111,343.4,0.755,
H0112,182.52,1.1813,High
H0113,351.24,0.9129,High
H0114,230.34,0.5159,High
H0115,252.86,2.7336,High
H0116,453.39,1.4359,High
H0117,528.77,0.5694,High
H0118,1757.93,0.5981,High
H0119,404.03,0.6071,High
H0120,1163.93,0.7279,High
H0121,1696.99,1.3024,High
H0122,342.46,1.226,High
H0123,695.3,1.0055,High
H0124,397.29,0.4952,High
H0125,808.96,0.8895,High
H0126,1646.11,0.5544,High
H0127,823.43,2.6266,High
H0128,366.92,1.6893,High
H0129,342.85,0.5384,High
H0130,1584.17,2.5634,High
H0131,313.45,1.6433,High
H0132,825.79,0.5331,High
H0133,345.6,0.5236,High
H0134,1538.99,1.1024,High
H0135,309.33,0.4749,High
H0136,648.79,1.2303,High
H0137,214.25,0.5368,High
H0138,548.16,1.5059,High
