household_id,region,city,postal_code,house_type,floor_area_sqft,num_occupants,has_solar_panels
H0001,East,Lakeland,66866,Apartment,2040,2,Yes
H0002,East,Hillview,81727,Detached,1554,5,Yes
H0003,West,Hillview,52569,Townhouse,2157,6,Yes
H0004,South,Lakeland,92983,Apartment,1582,5,No
H0005,South,Springfield,42083,Condo,2212,1,Yes
H0006,South,Rivertown,13976,Apartment,2538,2,No
H0007,East,Lakeland,51239,Apartment,1787,2,No
H0008,West,Springfield,55989,Detached,1418,3,Yes
H0009,South,Rivertown,22503,Detached,2568,6,Yes
H0010,North,Lakeland,13531,Detached,2223,5,No
H0011,South,Springfield,50982,Townhouse,1374,4,No
H0012,North,Rivertown,87289,Townhouse,1322,5,Yes
H0013,West,Springfield,29163,Condo,2299,1,Yes
H0014,East,Lakeland,75042,Detached,1649,1,Yes
H0015,North,Hillview,52868,Condo,1599,1,Yes
H0016,South,Hillview,98132,Apartment,1330,3,No
H0017,East,Rivertown,29310,Apartment,3014,1,No
H0018,West,Rivertown,78498,Condo,3220,6,No
H0019,West,Springfield,82477,Apartment,2316,2,Yes
H0020,West,Springfield,66112,Condo,2990,2,No
H0021,South,Lakeland,35219,Detached,2632,3,Yes
H0022,East,Hillview,26443,Townhouse,3192,5,Yes
H0023,South,Rivertown,47490,Condo,1706,6,No
H0024,West,Hillview,33580,Detached,1412,5,Yes
H0025,West,Lakeland,27487,Townhouse,2815,2,Yes
H0026,South,Rivertown,29773,Condo,2768,4,No
H0027,West,Rivertown,49867,Townhouse,1459,4,No
H0028,East,Rivertown,35284,Detached,3047,4,No
H0029,South,Lakeland,36048,Detached,556,1,No
H0030,East,Springfield,90805,Detached,1088,6,No
H0031,South,Hillview,79833,Condo,3376,4,No
H0032,West,Hillview,72585,Apartment,1377,3,No
H0033,South,Lakeland,21741,Detached,1073,3,No
H0034,South,Springfield,79851,Condo,553,4,Yes
H0035,North,Rivertown,20242,Apartment,1556,3,Yes
H0036,North,Rivertown,87176,Townhouse,2164,3,Yes
H0037,West,Hillview,27148,Condo,1185,1,No
H0038,North,Rivertown,93328,Townhouse,1352,3,No
H0039,North,Rivertown,77961,Townhouse,1620,4,No
H0040,North,Rivertown,95087,Detached,1600,1,No
H0041,West,Lakeland,12797,Condo,2369,5,No
H0042,East,Springfield,95627,Condo,592,6,No
H0043,East,Rivertown,57911,Apartment,643,2,No
H0044,North,Hillview,44736,Apartment,1649,5,No
H0045,South,Hillview,12579,Townhouse,3071,2,Yes
H0046,North,Lakeland,89153,Detached,1227,1,Yes
H0047,East,Lakeland,51892,Apartment,1763,2,No
H0048,East,Lakeland,94591,Townhouse,2771,4,Yes
H0049,South,Rivertown,53435,Condo,1379,1,No
H0050,South,Rivertown,81489,Detached,2887,6,Yes
H0051,North,Hillview,63324,Townhouse,1640,4,Yes
H0052,North,Rivertown,40383,Apartment,2635,3,No
H0053,East,Springfield,38416,Townhouse,3337,2,No
H0054,East,Hillview,90210,Apartment,1574,1,No
H0055,West,Hillview,49185,Condo,804,2,Yes
H0056,East,Rivertown,60738,Detached,2252,1,No
H0057,South,Hillview,94265,Detached,3214,6,Yes
H0058,South,Springfield,37247,Detached,2789,2,No
H0059,South,Rivertown,72176,Apartment,1276,6,Yes
H0060,South,Hillview,19195,Apartment,1237,2,Yes
